timestamp,perno,ebike_ride_frequency,average_number_of_ebike_trips_in_a_day,ebike_trip_purpose,do_ebike_trips_replace_car_trips,number_of_car_trip_replaced_by_ebike,any_problems_with_can_bike_co_app,list_of_problems_with_can_bike_co_app,comments_about_the_can_bike_co_app,ebike_mechanical_issues,comment_on_ebike_mechinal_issue,ask_for_help_from_support_program_staff,was_the_problem_solved_by_program_administrators,help_somewhere_else_where_and_who_helped,was_the_problem_solved,wish_program_support_last_week,any_additional__bike_accesory,plan_to_continue_participanting_in_program,reason_for_not_continuing_participanting_in_program,do_you_ride_the_ebike_more_than_manual_bike,do_other_household_members_ride_a_bike_more_often_now_that_you_,experience_riding_ebike,user_input_on_experience_riding_ebike,additional_feedback
10/13/2020 23:22:11,feabfccddd6c4e8e85179d7177042483,7,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,10+,No / No,,,No / No,,,,,,None that I could think of.,Something that I could attach a speaker to.,Yes / Sí,,Yes / Sí,Yes / Sí,I had a driver complement me as I ride the road along with them. And wished for my safety.,It's heavier than my own hybrid. But I'm quickly accustomed to it.,
10/19/2020 20:47:21,1d292b85c549409aa10d746e957582a0,3,3,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., Medical",No / No,None / Ninguna,No / No,,,No / No,,,,,,,,Yes / Sí,,Yes / Sí,No / No,Coyotes,I can get places quicker than on a bus.,
10/20/2020 12:54:30,8b56334852b34e3eb046a0aaf4fcea15,4,2,"To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,4-6,Yes / Sí,I don't know how to track my trip.,I really love it.,No / No,,,,,,The ebike app,No,Yes / Sí,,Yes / Sí,Yes / Sí,Travel furthet,I can go further without tired.,No
10/23/2020 15:55:58,feabfccddd6c4e8e85179d7177042483,6,10,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,10+,Yes / Sí,A few days It didn't start tracking until I arrived at my destination.,Can my bear be a bunny?,Yes / Sí,A Flat,No / No,No / No,Did it myself. Just a flat tire.,Unsure / No estoy seguro.,,,Yes / Sí,,Yes / Sí,No / No,I helped what looked to be a homeless man find an Inn.,Cruising. Peaceful. Pleasing.,
10/24/2020 8:01:49,c8b9fe2286f8449ab64fc18a8d20eefc,1,2,Lunch,Yes / Sí,1-3,Yes / Sí,"1) speedometer isn’t always accurate. Often 10-20 mph off. Not really an issue but figured I’d mention it. One trip a few weeks back, it clocked me biking at “70mph” hahahahaha","1)I’d like to see a real time active trip display. 
2)I’d like a manual trip start and end option for whenever trips don’t seem to record. Had a bunch of trips that didn’t record, both car, walking, and biking. ",No / No,,,,,,No,"Cell phone GPS type carrier would be nice. 

Not to be that guy, I do wish the bikes chosen had shocks as roads in Colorado are well... you know haha. But it’s a free ebike! Who could complain! Not having shocks is the only “issue” I’ve had so far. 
",Yes / Sí,,Yes / Sí,Yes / Sí,"The way it pulls you up hills with zero extra physical input from the user is very, very cool! It’s freakish feeling haha. ","My experience riding an ebike has been fun. The bike is a blast to ride and such a better economical and environmentally conscious choice. 
Plenty of compliments from avid bikes on my bike and it’s features! Bike enthusiasts like it as well!
Currently not able to bike all the way home and to work as it’s very far even for this ebike, so that’s the only “bad” part. 
Well and big bumps are very sketchy. At the right speed and when turning, a big enough bump could definitely throw you off. ",
10/25/2020 13:02:23,898b1a5ecdd44a0c90e4942fa298e456,4,3,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,1-3,No / No,,Great program ,No / No,,,,,,No,No,Yes / Sí,,Yes / Sí,No / No,Traffic problems ,Riding in the bike lanes drivers are aggressive ,No
11/2/2020 14:55:32,feabfccddd6c4e8e85179d7177042483,5,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,10+,No / No,,Some form of activity with the bear. Motivate more use in the bike.,Yes / Sí,Innertube nozzle broke off during the frigid cold we had. Ran a flat a few days.,Yes / Sí,Yes / Sí,,Yes / Sí,Video tutorials on any and all things related to riding a bike.,Some form of covering for when the bike sits out in the elements.,Yes / Sí,,Yes / Sí,No / No,Recieving the flat I mentioned earlier.,Gets me where I need to be without wasting so much stamina.,
11/3/2020 6:53:42,1d292b85c549409aa10d746e957582a0,3,2,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.",Yes / Sí,1-3,Yes / Sí,Some of my trips didn't get recorded.,No,Yes / Sí,Chain came off a few times.  Having some issues with shifting smoothly. ,,Not yet / Todavía no.,,,No,Ungoverned. ,Yes / Sí,,Unsure / No estoy seguro.,No / No,A lot of people ask about it ,It's much easier to get longer distances.,No
11/4/2020 11:56:38,c8b9fe2286f8449ab64fc18a8d20eefc,1,1,To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados.,Yes / Sí,1-3,No / No,,,No / No,,,,,,,,Yes / Sí,,Yes / Sí,Yes / Sí,"Besides the climb up hills, I find the time frame of travel to be very nice. Much faster than a manual bicycle. ","It’s been great. Due to the cold weather and snow for the week I’m reporting on I wasn’t riding it much as I primarily stayed indoors at home, which is never fun haha. ",
11/7/2020 8:59:49,8b56334852b34e3eb046a0aaf4fcea15,3,1,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,1-3,Yes / Sí,The tracker doesn't work,No,Yes / Sí,Flat tire,No / No,Yes / Sí,Friends or Family / Amigos o familiares.,Yes / Sí,No,No,Yes / Sí,,Yes / Sí,Yes / Sí,Easy and travel further,I like it.,No
11/10/2020 17:11:57,1d292b85c549409aa10d746e957582a0,3,2,"To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",No / No,None / Ninguna,Yes / Sí,Almost a full days worth of travel didn't show up in my journal.,No,Yes / Sí,I'm having an issue with shifting properly. ,No / No,Unsure / No estoy seguro.,,,No,No,Yes / Sí,,Unsure / No estoy seguro.,No / No,,It's much easier.  ,
11/10/2020 17:48:18,1044195faf9e43d4940760594e5e9938,2,3,"To get to/from work / Para ir o volver del trabajo., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,1-3,No / No,,I enjoy my bike and it's still a blessing,No / No,,,,,,No,Just something to put my water down,Yes / Sí,,Yes / Sí,No / No,I love extra help,Just enjoyable,No I just enjoy the program and I think it's wonderful and I think it's very helpful to people in my financial situation
11/10/2020 20:34:20,feabfccddd6c4e8e85179d7177042483,6,10,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos.",Yes / Sí,10+,No / No,,Needs to track distance from point a to point b. Like I would leave the house and go to a coffeeshop. I starts my travel halfway through the whole trip.,No / No,,,,,,,Cup/bottle holder. Or a holder for a bluetooth speaker.,Yes / Sí,,Yes / Sí,No / No,Nothing to report!,Ride with ease. Still uneasy in riding on snow/ice though.,Let's do something more for the bears.
11/13/2020 8:57:08,960835ac9d8a421d8b8abf816f8a4b92,6,5,"To get to/from work / Para ir o volver del trabajo., To go grocery shopping or for other errands / Para ir de compras o para hacer otros mandados., To visit family or friends / Para visitar a familiares o amigos., For exercise / Para hacer ejercicio.",Yes / Sí,1-3,No / No,,Thank you for the opportunity to ride in the community show the community we need to bike more,No / No,,,,,,No I'm updated on all programs,I have all accessories for my bike and training,Yes / Sí,,Yes / Sí,Yes / Sí,How colorado is building more and with driving i don't see new stores are apartments build in the community,I have lost 11 pounds i can shop go where ever i wanna go buddy up with friends i get STRENGTH when i ride get away from the house for a while.,
