Timestamp,"Your Unique User Identifier (Automatically Filled, please don't edit)",What is your age? (Not eligible if under 18),How long are you willing to walk every day?,How long are you willing to bike every day?,Please select your household income bracket before taxes: (per year),Rate your level of fluency in English,Rate how rushed/stressed you feel before traveling,Do you feel that public transportation is easily accessible for your commutes?,Do you feel that walking/biking or other alternative transportation methods are easily accessible for your commutes?,How did you hear about this study?,How sustainable do you think your current transportation methods are?,How much of a concern is transportation sustainability to you?
3/8/2018 19:58:00,6e1e8adce7854e578cc2962f8bc02fc3,50+,31-60 minutes,<10 minutes,"$100,001 - $200,000",3,4,No,Yes,Recruiting Talk,4,5
3/8/2018 20:03:31,420d4587e6b540a0bfd5b5ac2901aa77,50+,31-60 minutes,31-60 minutes,"$100,001 - $200,000",3,2,No,Yes,Recruiting Talk,4,5
3/9/2018 9:41:03,8962422171504c6d99d46adc436cd93c,31-50,10-30 minutes,61+ minutes,"$200,001 +",3,1,Yes,Yes,Recruiting Talk,5,5
3/9/2018 11:41:10,28e0571a19be4989a33e6b6a9d75fcfe,50+,61+ minutes,Decline to State,"$100,001 - $200,000",3,3,No,Yes,Recruiting Talk,4,5
3/9/2018 13:11:22,9b6ea38737644e4b8216b0b46a52e520,18-30,31-60 minutes,31-60 minutes,"< $50,000",3,4,No,Yes,Recruiting Talk,5,4
3/12/2018 13:24:47,035633ef0ba64da88f70102f15332e53,18-30,31-60 minutes,I don't have a bike,"$50,001 - $100,000",3,4,Yes,Yes,Friend/Family Member,5,3
3/12/2018 13:25:23,f1e0716b5d514a4685717225ea4b3f3e,18-30,61+ minutes,I don't have a bike,"$200,001 +",3,3,Yes,Yes,Friend/Family Member,3,4
3/12/2018 13:25:26,e379fe208b7c47f6a7f3eee98e89861c,18-30,31-60 minutes,<10 minutes,Decline to State,3,4,Yes,Yes,Decline to State,4,4
3/12/2018 13:26:03,d554a772f144476ead864a470a36b48a,18-30,61+ minutes,I don't have a bike,Decline to State,3,3,Yes,Yes,Recruiting Talk,4,4
3/12/2018 13:26:08,53c65322d6494de2ba5292e075dc30c7,18-30,31-60 minutes,I don't have a bike,"< $50,000",3,4,Yes,Yes,Recruiting Talk,4,4
3/12/2018 16:06:53,a8df5775396e4af2928b2e3056978afa,18-30,31-60 minutes,10-30 minutes,"< $50,000",3,3,Yes,Yes,Recruiting Talk,5,4
3/12/2018 16:08:40,132f89561b864e178930b5ae1142eb5e,31-50,10-30 minutes,31-60 minutes,"< $50,000",3,5,Yes,Yes,Recruiting Talk,5,5
3/12/2018 19:36:49,405879cad11447b190cfdc0ba5cddcd7,18-30,31-60 minutes,<10 minutes,"< $50,000",3,3,Yes,Yes,Recruiting Talk,5,4
3/12/2018 20:18:01,be8a01120f9b4747abbf6cc91f76dd77,31-50,10-30 minutes,10-30 minutes,"< $50,000",3,2,Yes,Yes,Recruiting Talk,5,4
3/12/2018 20:35:16,39a4c030980445209e2e46e99f558f47,18-30,61+ minutes,<10 minutes,"< $50,000",3,2,Decline to State,Yes,Friend/Family Member,4,5
